Id;Riferimento;Impronta;Quantità;Valore
1;J1,J2,J3,J4,J5,J6,J7,J8,J9;MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom;1;Spacers
;;;;
2;C12,C14;C_0402_1005Metric;2;4.7uF
7;C23, C24;C_0402_1005Metric;1;1uF
8;C17,C11,C20,C15,C16,C19,C18,C21;C_0402_1005Metric;8;10uF
4;C13,C10;C_0402_1005Metric;2;0.1uF
12;C5,C8,C3,C7,C4,C2;C_0402_1005Metric;6;1nF 100V
16;C1,C6;C_0402_1005Metric;2;10nF 100V
20;C9,C25;C_0402_1005Metric;2;100nF 100V
18;C22;CP_Elec_8x11.9;1;100uF 10x10
25;R3,R1;C_0402_1005Metric;2;0.75
9;R6,R5;C_0402_1005Metric;2;1.6k
30;R2,R4;C_0402_1005Metric;2;100k
31;R7;C_0402_1005Metric;1;10k
26;IC1;DRV8262DDWR;1;
27;IC3;TC4422AVOA;1;
17;IC2;TC4421AVOA;1;
3;Q1,Q2;IRF9530NSTRLPBF;2;
6;U1;ATtiny1624-SS;1;
10;J10;PinHeader_2x03_P1.27mm_Vertical;1;
28;J11;Conn_01x01;1;
11;D2;LED_0402_1005Metric;1;
23;D1;V20DM100C-M3_I;1;
